Zipcode,ID,TotalPop_Estimate,Male_Estimate,Male_Percent,Female_Estimate,Female_Percent,Male_SexRatio_Estimate,Under5_Estimate,Under5_Percent,5to9_Estimate,5to9_Percent,10to14_Estimate,10to14_Percent,15to19_Estimate,15to19_Percent,20to24_Estimate,20to24_Percent,25to34_Estimate,25to34_Percent,35to44_Estimate,35to44_Percent,45to54_Estimate,45to54_Percent,55to59_Estimate,55to59_Percent,60to64_Estimate,60to64_Percent,65to74_Estimate,65to74_Percent,75to84_Estimate,75to84_Percent,85andOver_Estimate,85andOver_Percent,MedianAge_Estimate,Under18_Estimate,Under18_Percent,16andOver_Estimate,16andOver_Percent,18andOver_Estimate,18andOver_Percent,21andOver_Estimate,21andOver_Percent,62andOver_Estimate,62andOver_Percent,65andOver_Estimate,65andOver_Percent,Male_18andOver_Estimate,Male_18andOver_Percent,Female_18andOver_Estimate,Female_18andOver_Percent,Male_18andOver_SexRatio_Estimate,Male_65andOver_Estimate,Male_65andOver_Percent,Female_65andOver_Estimate,Female_65andOver_Percent,Male_65andOver_SexRatio_Estimate,OneRace_Estimate,OneRace_Percent,TwoRace_Estimate,TwoRace_Percent,OneRace_White_Estimate,OneRace_White_Percent,OneRace_BlackAA_Estimate,OneRace_BlackAA_Percent,OneRace_AIAN_Estimate,OneRace_AIAN_Percent,OneRace_AIAN_Cherokee_Estimate,OneRace_AIAN_Cherokee_Percent,OneRace_AIAN_Chippewa_Estimate,OneRace_AIAN_Chippewa_Percent,OneRace_AIAN_Navajo_Estimate,OneRace_AIAN_Navajo_Percent,OneRace_AIAN_Sioux_Estimate,OneRace_AIAN_Sioux_Percent,OneRace_Asian_Estimate,OneRace_Asian_Percent,OneRace_Asian_AsianIndian_Estimate,OneRace_Asian_AsianIndian_Percent,OneRace_Asian_Chinese_Estimate,OneRace_Asian_Chinese_Percent,OneRace_Asian_Filipino_Estimate,OneRace_Asian_Filipino_Percent,OneRace_Asian_Japanese_Estimate,OneRace_Asian_Japanese_Percent,OneRace_Asian_Korean_Estimate,OneRace_Asian_Korean_Percent,OneRace_Asian_Vietnamese_Estimate,OneRace_Asian_Vietnamese_Percent,OneRace_Asian_Other_Estimate,OneRace_Asian_Other_Percent,OneRace_NHOPI_Estimate,OneRace_NHOPI_Percent,OneRace_NHOPIN_Islander_Estimate,OneRace_NHOPIN__Percent,OneRace_NHOPIG_Guamanian_Estimate,OneRace_NHOPIG_Guamanian_Percent,OneRace_NHOPI_Pacific_Estimate,OneRace_NHOPI_Pacific_Percent,OneRace_NHOPIOP_Other_Estimate,OneRace_NHOPIOP_Other_Percent,OneRace_SomeOtherRace_Estimate,OneRace_SomeOtherRace_Percent,TwoRace_White_BlackAA_Estimate,TwoRace_White_BlackAA_Percent,TwoRace_White_AIAN_Estimate,TwoRace_White_AIAN_Percent,TwoRace_White_Asian_Estimate,TwoRace_White_Asian_Percent,TwoRace_BlackAA_AIAN_Estimate,TwoRace_BlackAA_AIAN_Percent,AloneComboRace_Estimate,AloneComboRace_Estimate,AloneComboRace_White_Estimate,AloneComboRace_White_Percent,AloneComboRace_BlackAA_Estimate,AloneComboRace_BlackAA_Percent,AloneComboRace_AIAN_Estimate,AloneComboRace_AIAN_Percent,AloneComboRace_Asian_Estimate,AloneComboRace_Asian_Percent,AloneComboRace_NHOPI_Estimate,AloneComboRace_NHOPI_Percent,AloneComboRace_Other_Estimate,AloneComboRace_Other_Percent,HispanicLatino_Estimate,HispanicLatino_AnyRace_Estimate,HispanicLatino_AnyRace_Percent,HispanicLatino_Mexican_AnyRace_Estimate,HispanicLatino_Mexican_AnyRace_Percent,HispanicLatino_PuertoRican_AnyRace_Estimate,HispanicLatino_PuertoRican_AnyRace_Percent,HispanicLatino_Cuban_AnyRace_Estimate,HispanicLatino_Cuban_AnyRace_Percent,HispanicLatino_Other_AnyRace_Estimate,HispanicLatino_Other_AnyRace_Percent,NotHispanicLatino_Estimate,NotHispanicLatino_Percent,NotHispanicLatino_White_Estimate,NotHispanicLatino_White_Percent,NotHispanicLatino_BlackAA_Estimate,NotHispanicLatino_BlackAA_Percent,NotHispanicLatino_AIAN_Estimate,NotHispanicLatino_AIAN_Percent,NotHispanicLatino_Asian_Estimate,NotHispanicLatino_Asian_Percent,NotHispanicLatino_NHOPI_Estimate,NotHispanicLatino_NHOPI_Percent,NotHispanicLatino_AloneOther_Estimate,NotHispanicLatino_AloneOther_Percent,NotHispanicLatino_TwoMore_Estimate,NotHispanicLatino_TwoMore_Percent,NotHispanicLatino_TwoMore_IncludeOther_Estimate,NotHispanicLatino_TwoMore_IncludeOther_Percent,NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate,NotHispanicLatino_TwoMore_ExcludeOtherThree_Percent,HousingUnits_Estimate,HousingUnits_Percent,Vote_18andOver_Estimate,Vote_18andOver_Percent,Vote_Male_18andOver_Estimate,Vote_Male_18andOver_Percent,Vote_Female_18andOver_Estimate,Vote_Female_18andOver_Percent
33852,8600000US33852,21099,10818,51.3,10281,48.7,105.2,662,3.1,1050,5,869,4.1,993,4.7,902,4.3,1862,8.8,1688,8,2371,11.2,1235,5.9,1691,8,3699,17.5,2821,13.4,1256,6,55.4,3244,15.4,18354,87,17855,84.6,17220,81.6,8757,41.5,7776,36.9,8847,49.5,9008,50.5,98.2,3634,46.7,4142,53.3,87.7,20816,98.7,283,1.3,18959,89.9,954,4.5,61,0.3,0,0,0,0,0,0,31,0.1,101,0.5,86,0.4,0,0,13,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,741,3.5,189,0.9,29,0.1,7,0,0,0,21099,21099,19240,91.2,1143,5.4,90,0.4,110,0.5,0,0,799,3.8,21099,5418,25.7,2718,12.9,1101,5.2,786,3.7,813,3.9,15681,74.3,14334,67.9,954,4.5,48,0.2,101,0.5,0,0,17,0.1,227,1.1,2,0,225,1.1,12468,(X),16735,16735,8206,49,8529,51
34266,8600000US34266,32229,18579,57.6,13650,42.4,136.1,1730,5.4,1887,5.9,1847,5.7,2316,7.2,1975,6.1,5000,15.5,4177,13,4072,12.6,1663,5.2,1844,5.7,3307,10.3,1837,5.7,574,1.8,38.1,6754,21,26273,81.5,25475,79,23930,74.2,6802,21.1,5718,17.7,15118,59.3,10357,40.7,146,2767,48.4,2951,51.6,93.8,31851,98.8,378,1.2,26809,83.2,4322,13.4,30,0.1,19,0.1,0,0,0,0,0,0,69,0.2,0,0,3,0,17,0.1,0,0,49,0.2,0,0,0,0,37,0.1,0,0,37,0.1,0,0,0,0,584,1.8,66,0.2,146,0.5,4,0,32,0.1,32229,32229,27138,84.2,4437,13.8,208,0.6,85,0.3,47,0.1,692,2.1,32229,11504,35.7,9984,31,295,0.9,442,1.4,783,2.4,20725,64.3,16049,49.8,4305,13.4,30,0.1,69,0.2,37,0.1,13,0,222,0.7,0,0,222,0.7,12238,(X),21710,21710,12380,57,9330,43
34268,8600000US34268,157,69,43.9,88,56.1,78.4,0,0,0,0,29,18.5,0,0,0,0,0,0,48,30.6,0,0,0,0,0,0,80,51,0,0,0,0,65,29,18.5,128,81.5,128,81.5,128,81.5,80,51,80,51,40,31.3,88,68.8,45.5,40,50,40,50,100,157,100,0,0,0,0,157,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,157,0,0,157,100,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,157,100,0,0,157,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,(X),128,128,40,31.3,88,68.8
34269,8600000US34269,4517,2188,48.4,2329,51.6,93.9,131,2.9,164,3.6,94,2.1,56,1.2,240,5.3,259,5.7,242,5.4,329,7.3,349,7.7,449,9.9,1036,22.9,956,21.2,212,4.7,64.2,426,9.4,4128,91.4,4091,90.6,4028,89.2,2464,54.5,2204,48.8,2007,49.1,2084,50.9,96.3,1089,49.4,1115,50.6,97.7,4444,98.4,73,1.6,4270,94.5,155,3.4,1,0,0,0,0,0,0,0,0,0,14,0.3,3,0.1,6,0.1,5,0.1,0,0,0,0,0,0,0,0,4,0.1,0,0,0,0,4,0.1,0,0,0,0,14,0.3,16,0.4,7,0.2,0,0,4517,4517,4343,96.1,169,3.7,17,0.4,38,0.8,23,0.5,17,0.4,4517,145,3.2,114,2.5,16,0.4,15,0.3,0,0,4372,96.8,4158,92.1,155,3.4,1,0,14,0.3,4,0.1,0,0,40,0.9,0,0,40,0.9,2778,(X),4064,4064,1988,48.9,2076,51.1
33598,8600000US33598,20053,10274,51.2,9779,48.8,105.1,1353,6.7,1680,8.4,1191,5.9,1089,5.4,1291,6.4,3361,16.8,2527,12.6,2247,11.2,814,4.1,1030,5.1,2338,11.7,967,4.8,165,0.8,35.2,4977,24.8,15554,77.6,15076,75.2,14483,72.2,4142,20.7,3470,17.3,7648,50.7,7428,49.3,103,1783,51.4,1687,48.6,105.7,19946,99.5,107,0.5,11123,55.5,2055,10.2,11,0.1,0,0,0,0,0,0,0,0,294,1.5,39,0.2,27,0.1,25,0.1,7,0,12,0.1,71,0.4,113,0.6,0,0,0,0,0,0,0,0,0,0,6463,32.2,38,0.2,17,0.1,0,0,0,0,20053,20053,11199,55.8,2134,10.6,28,0.1,313,1.6,0,0,6496,32.4,20053,9848,49.1,7987,39.8,777,3.9,129,0.6,955,4.8,10205,50.9,7886,39.3,1907,9.5,11,0.1,294,1.5,0,0,21,0.1,86,0.4,22,0.1,64,0.3,6866,(X),11850,11850,5597,47.2,6253,52.8
33834,8600000US33834,7524,4579,60.9,2945,39.1,155.5,430,5.7,517,6.9,514,6.8,319,4.2,704,9.4,989,13.1,1018,13.5,1182,15.7,460,6.1,408,5.4,573,7.6,376,5,34,0.5,36.8,1678,22.3,5922,78.7,5846,77.7,5648,75.1,1267,16.8,983,13.1,3682,63,2164,37,170.1,557,56.7,426,43.3,130.8,7342,97.6,182,2.4,5364,71.3,884,11.7,0,0,0,0,0,0,0,0,0,0,147,2,0,0,0,0,141,1.9,0,0,0,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,947,12.6,78,1,73,1,0,0,0,0,7524,7524,5525,73.4,983,13.1,73,1,157,2.1,0,0,968,12.9,7524,3358,44.6,2370,31.5,499,6.6,148,2,341,4.5,4166,55.4,3000,39.9,861,11.4,0,0,147,2,0,0,7,0.1,151,2,0,0,151,2,2190,(X),5253,5253,3275,62.3,1978,37.7
33865,8600000US33865,958,407,42.5,551,57.5,73.9,0,0,63,6.6,30,3.1,80,8.4,21,2.2,147,15.3,99,10.3,56,5.8,49,5.1,70,7.3,294,30.7,37,3.9,12,1.3,52.7,122,12.7,836,87.3,836,87.3,785,81.9,413,43.1,343,35.8,375,44.9,461,55.1,81.3,119,34.7,224,65.3,53.1,958,100,0,0,863,90.1,95,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,958,863,90.1,95,9.9,0,0,0,0,0,0,0,0,958,497,51.9,416,43.4,81,8.5,0,0,0,0,461,48.1,366,38.2,95,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,(X),836,836,375,44.9,461,55.1
34201,8600000US34201,3997,2021,50.6,1976,49.4,102.3,56,1.4,144,3.6,183,4.6,135,3.4,84,2.1,125,3.1,310,7.8,262,6.6,275,6.9,129,3.2,1272,31.8,871,21.8,151,3.8,67.6,480,12,3584,89.7,3517,88,3479,87,2375,59.4,2294,57.4,1740,49.5,1777,50.5,97.9,1149,50.1,1145,49.9,100.3,3880,97.1,117,2.9,3693,92.4,72,1.8,21,0.5,21,0.5,0,0,0,0,0,0,94,2.4,0,0,73,1.8,0,0,13,0.3,8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.6,0,0,52,1.3,0,0,3997,3997,3810,95.3,137,3.4,21,0.5,146,3.7,0,0,0,0,3997,167,4.2,0,0,52,1.3,57,1.4,58,1.5,3830,95.8,3526,88.2,72,1.8,21,0.5,94,2.4,0,0,0,0,117,2.9,0,0,117,2.9,2471,(X),3218,3218,1621,50.4,1597,49.6
34202,8600000US34202,24637,11910,48.3,12727,51.7,93.6,924,3.8,1161,4.7,1748,7.1,1282,5.2,860,3.5,2109,8.6,2328,9.4,3095,12.6,1724,7,2267,9.2,4371,17.7,1975,8,793,3.2,50.9,4745,19.3,20580,83.5,19892,80.7,19293,78.3,8500,34.5,7139,29,9586,48.2,10306,51.8,93,3513,49.2,3626,50.8,96.9,24224,98.3,413,1.7,23221,94.3,352,1.4,57,0.2,0,0,0,0,0,0,0,0,555,2.3,165,0.7,101,0.4,51,0.2,33,0.1,43,0.2,8,0,154,0.6,8,0,0,0,8,0,0,0,0,0,31,0.1,157,0.6,58,0.2,147,0.6,5,0,24637,24637,23607,95.8,514,2.1,142,0.6,702,2.8,8,0,77,0.3,24637,2465,10,483,2,299,1.2,235,1,1448,5.9,22172,90,20933,85,338,1.4,57,0.2,555,2.3,0,0,0,0,289,1.2,0,0,289,1.2,11707,(X),18896,18896,9068,48,9828,52
34203,8600000US34203,38971,18754,48.1,20217,51.9,92.8,2146,5.5,2305,5.9,2243,5.8,1659,4.3,1377,3.5,4544,11.7,4148,10.6,5232,13.4,2697,6.9,2427,6.2,5063,13,3750,9.6,1380,3.5,47.4,7766,19.9,31911,81.9,31205,80.1,30420,78.1,11813,30.3,10193,26.2,14614,46.8,16591,53.2,88.1,4758,46.7,5435,53.3,87.5,38280,98.2,691,1.8,32850,84.3,3425,8.8,167,0.4,34,0.1,0,0,0,0,0,0,940,2.4,89,0.2,42,0.1,428,1.1,72,0.2,0,0,309,0.8,0,0,27,0.1,0,0,0,0,14,0,13,0,871,2.2,285,0.7,63,0.2,50,0.1,0,0,38971,38971,33411,85.7,3759,9.6,245,0.6,1104,2.8,43,0.1,1115,2.9,38971,8979,23,5316,13.6,1218,3.1,552,1.4,1893,4.9,29992,77,25069,64.3,3417,8.8,167,0.4,889,2.3,27,0.1,53,0.1,370,0.9,94,0.2,276,0.7,18234,(X),28103,28103,13018,46.3,15085,53.7
