FullName,CT,CTID,County,CountyID,State,StateID,TotalPop_Estimate,Male_Estimate,Female_Estimate,Male_SexRatio_Estimate,Under5_Estimate,5to9_Estimate,10to14_Estimate,15to19_Estimate,20to24_Estimate,25to34_Estimate,35to44_Estimate,45to54_Estimate,55to59_Estimate,60to64_Estimate,65to74_Estimate,75to84_Estimate,85andOver_Estimate,MedianAge_Estimate,Under18_Estimate,16andOver_Estimate,18andOver_Estimate,21andOver_Estimate,62andOver_Estimate,65andOver_Estimate,Male_18andOver_Estimate,Female_18andOver_Estimate,Male_18andOver_SexRatio_Estimate,Male_65andOver_Estimate,Female_65andOver_Estimate,Male_65andOver_SexRatio_Estimate,TotalRace_Estimate,OneRace_Estimate,TwoRace_Estimate,OneRace_White_Estimate,OneRace_BlackAA_Estimate,OneRace_AIAN_Estimate,OneRace_AIAN_Cherokee_Estimate,OneRace_AIAN_Chippewa_Estimate,OneRace_AIAN_Navajo_Estimate,OneRace_AIAN_Sioux_Estimate,OneRace_Asian_Estimate,OneRace_Asian_AsianIndian_Estimate,OneRace_Asian_Chinese_Estimate,OneRace_Asian_Filipino_Estimate,OneRace_Asian_Japanese_Estimate,OneRace_Asian_Korean_Estimate,OneRace_Asian_Vietnamese_Estimate,OneRace_Asian_Other_Estimate,OneRace_NHOPI_Estimate,OneRace_NHOPIN_NativeHawaiian_Estimate,OneRace_NHOPIG_Chamorro_Estimate,OneRace_NHOPI_Samoan_Estimate,OneRace_NHOPIOP_Other_Estimate,OneRace_SomeOtherRace_Estimate,TwoRace_White_BlackAA_Estimate,TwoRace_White_AIAN_Estimate,TwoRace_White_Asian_Estimate,TwoRace_BlackAA_AIAN_Estimate,AloneComboRace_Estimate,AloneComboRace_White_Estimate,AloneComboRace_BlackAA_Estimate,AloneComboRace_AIAN_Estimate,AloneComboRace_Asian_Estimate,AloneComboRace_NHOPI_Estimate,AloneComboRace_Other_Estimate,HispanicLatino_Estimate,HispanicLatino_AnyRace_Estimate,HispanicLatino_Mexican_AnyRace_Estimate,HispanicLatino_PuertoRican_AnyRace_Estimate,HispanicLatino_Cuban_AnyRace_Estimate,HispanicLatino_Other_AnyRace_Estimate,NotHispanicLatino_Estimate,NotHispanicLatino_White_Estimate,NotHispanicLatino_BlackAA_Estimate,NotHispanicLatino_AIAN_Estimate,NotHispanicLatino_Asian_Estimate,NotHispanicLatino_NHOPI_Estimate,NotHispanicLatino_AloneOther_Estimate,NotHispanicLatino_TwoMore_Estimate,NotHispanicLatino_TwoMore_IncludeOther_Estimate,NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate,HousingUnits_Estimate,Vote_18andOver_Estimate,Vote_Male_18andOver_Estimate,Vote_Female_18andOver_Estimate
"Census Tract 101.01, DeSoto County, Florida",Census Tract 101.01,101.01, DeSoto County,027, Florida,12,3885,2030,1855,109.4,111,167,148,193,69,179,512,337,175,207,1015,643,129,60.8,500,3424,3385,3266,1899,1787,1677,1708,98.2,801,986,81.2,3885,3852,33,3813,8,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,22,0,0,3885,3846,15,35,0,4,18,3885,905,761,23,0,121,2980,2926,8,13,0,0,0,33,0,33,2344,2934,1384,1550
"Census Tract 101.02, DeSoto County, Florida",Census Tract 101.02,101.02, DeSoto County,027, Florida,12,4994,3737,1257,297.3,138,144,63,102,305,1026,559,898,451,347,602,295,64,46.5,403,4641,4591,4499,1176,961,3547,1044,339.8,641,320,200.3,4994,4773,221,3817,905,7,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,0,23,93,65,7,31,4994,3995,1029,115,28,0,48,4994,1187,923,43,90,131,3807,2684,905,7,21,0,0,190,0,190,968,4286,3300,986
"Census Tract 102, DeSoto County, Florida",Census Tract 102,102, DeSoto County,027, Florida,12,6359,3258,3101,105.1,267,522,459,872,388,879,856,817,268,248,405,276,102,32.1,1640,4953,4719,4110,967,783,2230,2489,89.6,279,504,55.4,6359,5849,510,4818,795,1,0,0,0,0,27,0,4,23,0,0,0,0,0,0,0,0,0,208,9,52,39,0,6359,5315,817,53,79,0,605,6359,2220,1720,0,160,340,4139,3197,795,1,27,0,6,113,0,113,2420,4056,1750,2306
"Census Tract 103.01, DeSoto County, Florida",Census Tract 103.01,103.01, DeSoto County,027, Florida,12,7591,4212,3379,124.7,631,479,438,514,610,1665,1010,760,201,317,488,102,376,31.4,1778,5943,5813,5438,1240,966,3460,2353,147,363,603,60.2,7591,7472,119,6667,404,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,376,13,0,0,0,7591,6786,417,0,0,25,482,7591,4898,4312,63,139,384,2693,2240,404,0,0,25,0,24,24,0,2899,4207,2233,1974
"Census Tract 103.02, DeSoto County, Florida",Census Tract 103.02,103.02, DeSoto County,027, Florida,12,2554,1186,1368,86.7,229,204,252,250,125,480,233,246,135,130,180,24,66,32,860,1771,1694,1619,347,270,760,934,81.4,103,167,61.7,2554,2547,7,1092,1332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,7,2554,1092,1339,7,0,0,123,2554,861,680,40,20,121,1693,354,1332,0,0,0,0,7,0,7,1088,1577,709,868
"Census Tract 104.03, DeSoto County, Florida",Census Tract 104.03,104.03, DeSoto County,027, Florida,12,3653,1758,1895,92.8,125,277,108,79,136,362,257,305,176,275,848,516,189,60,575,3129,3078,3031,1690,1553,1523,1555,97.9,803,750,107.1,3653,3598,55,3422,54,4,4,0,0,0,113,0,20,33,0,60,0,0,5,0,0,5,0,0,13,7,17,0,3653,3477,67,11,148,5,18,3653,177,120,0,57,0,3476,3263,54,4,113,5,0,37,0,37,1818,2991,1504,1487
"Census Tract 104.04, DeSoto County, Florida",Census Tract 104.04,104.04, DeSoto County,027, Florida,12,3034,1868,1166,160.2,195,143,213,83,103,379,540,464,179,148,294,238,55,42.1,623,2443,2411,2385,643,587,1575,836,188.4,267,320,83.4,3034,2914,120,2732,140,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,3034,2845,147,8,0,0,154,3034,737,573,22,127,15,2297,2143,140,6,0,0,6,2,0,2,1192,2081,1283,798
"Census Tract 104.05, DeSoto County, Florida",Census Tract 104.05,104.05, DeSoto County,027, Florida,12,1686,924,762,121.3,67,21,0,11,109,116,76,121,239,187,374,336,29,62.3,88,1598,1598,1584,879,739,886,712,124.4,407,332,122.6,1686,1640,46,1502,112,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1686,1548,112,2,2,0,68,1686,103,0,62,29,12,1583,1467,112,2,2,0,0,0,0,0,1096,1580,868,712
"Census Tract 104.06, DeSoto County, Florida",Census Tract 104.06,104.06, DeSoto County,027, Florida,12,3615,2056,1559,131.9,99,123,218,423,141,348,485,416,379,312,379,244,48,44,746,3102,2869,2704,822,671,1665,1204,138.3,424,247,171.7,3615,3595,20,2745,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,3615,2765,787,0,0,20,63,3615,695,563,13,68,51,2920,2142,743,0,0,0,15,20,0,20,1482,2693,1536,1157
"Census Tract 1.01, Manatee County, Florida",Census Tract 1.01,1.01, Manatee County,081, Florida,12,1556,660,896,73.7,9,0,20,81,15,159,68,127,212,73,261,328,203,65.3,96,1497,1460,1446,837,792,606,854,71,321,471,68.2,1556,1498,58,1342,40,12,0,0,0,0,104,28,73,0,3,0,0,0,0,0,0,0,0,0,6,5,0,0,1556,1389,46,17,131,27,20,1556,71,17,20,0,34,1485,1291,40,12,104,0,0,38,0,38,1453,1361,569,792
