"Zipcode","ID","TotalPop_Estimate","Male_Estimate","Male_Percent","Female_Estimate","Female_Percent","Male_SexRatio_Estimate","Under5_Estimate","Under5_Percent","5to9_Estimate","5to9_Percent","10to14_Estimate","10to14_Percent","15to19_Estimate","15to19_Percent","20to24_Estimate","20to24_Percent","25to34_Estimate","25to34_Percent","35to44_Estimate","35to44_Percent","45to54_Estimate","45to54_Percent","55to59_Estimate","55to59_Percent","60to64_Estimate","60to64_Percent","65to74_Estimate","65to74_Percent","75to84_Estimate","75to84_Percent","85andOver_Estimate","85andOver_Percent","MedianAge_Estimate","Under18_Estimate","Under18_Percent","16andOver_Estimate","16andOver_Percent","18andOver_Estimate","18andOver_Percent","21andOver_Estimate","21andOver_Percent","62andOver_Estimate","62andOver_Percent","65andOver_Estimate","65andOver_Percent","Male_18andOver_Estimate","Male_18andOver_Percent","Female_18andOver_Estimate","Female_18andOver_Percent","Male_18andOver_SexRatio_Estimate","Male_65andOver_Estimate","Male_65andOver_Percent","Female_65andOver_Estimate","Female_65andOver_Percent","Male_65andOver_SexRatio_Estimate","OneRace_Estimate","OneRace_Percent","TwoRace_Estimate","TwoRace_Percent","OneRace_White_Estimate","OneRace_White_Percent","OneRace_BlackAA_Estimate","OneRace_BlackAA_Percent","OneRace_AIAN_Estimate","OneRace_AIAN_Percent","OneRace_AIAN_Cherokee_Estimate","OneRace_AIAN_Cherokee_Percent","OneRace_AIAN_Chippewa_Estimate","OneRace_AIAN_Chippewa_Percent","OneRace_AIAN_Navajo_Estimate","OneRace_AIAN_Navajo_Percent","OneRace_AIAN_Sioux_Estimate","OneRace_AIAN_Sioux_Percent","OneRace_Asian_Estimate","OneRace_Asian_Percent","OneRace_Asian_AsianIndian_Estimate","OneRace_Asian_AsianIndian_Percent","OneRace_Asian_Chinese_Estimate","OneRace_Asian_Chinese_Percent","OneRace_Asian_Filipino_Estimate","OneRace_Asian_Filipino_Percent","OneRace_Asian_Japanese_Estimate","OneRace_Asian_Japanese_Percent","OneRace_Asian_Korean_Estimate","OneRace_Asian_Korean_Percent","OneRace_Asian_Vietnamese_Estimate","OneRace_Asian_Vietnamese_Percent","OneRace_Asian_Other_Estimate","OneRace_Asian_Other_Percent","OneRace_NHOPI_Estimate","OneRace_NHOPI_Percent","OneRace_NHOPIN_Islander_Estimate","OneRace_NHOPIN__Percent","OneRace_NHOPIG_Guamanian_Estimate","OneRace_NHOPIG_Guamanian_Percent","OneRace_NHOPI_Pacific_Estimate","OneRace_NHOPI_Pacific_Percent","OneRace_NHOPIOP_Other_Estimate","OneRace_NHOPIOP_Other_Percent","OneRace_SomeOtherRace_Estimate","OneRace_SomeOtherRace_Percent","TwoRace_White_BlackAA_Estimate","TwoRace_White_BlackAA_Percent","TwoRace_White_AIAN_Estimate","TwoRace_White_AIAN_Percent","TwoRace_White_Asian_Estimate","TwoRace_White_Asian_Percent","TwoRace_BlackAA_AIAN_Estimate","TwoRace_BlackAA_AIAN_Percent","AloneComboRace_Estimate","AloneComboRace_Estimate","AloneComboRace_White_Estimate","AloneComboRace_White_Percent","AloneComboRace_BlackAA_Estimate","AloneComboRace_BlackAA_Percent","AloneComboRace_AIAN_Estimate","AloneComboRace_AIAN_Percent","AloneComboRace_Asian_Estimate","AloneComboRace_Asian_Percent","AloneComboRace_NHOPI_Estimate","AloneComboRace_NHOPI_Percent","AloneComboRace_Other_Estimate","AloneComboRace_Other_Percent","HispanicLatino_Estimate","HispanicLatino_AnyRace_Estimate","HispanicLatino_AnyRace_Percent","HispanicLatino_Mexican_AnyRace_Estimate","HispanicLatino_Mexican_AnyRace_Percent","HispanicLatino_PuertoRican_AnyRace_Estimate","HispanicLatino_PuertoRican_AnyRace_Percent","HispanicLatino_Cuban_AnyRace_Estimate","HispanicLatino_Cuban_AnyRace_Percent","HispanicLatino_Other_AnyRace_Estimate","HispanicLatino_Other_AnyRace_Percent","NotHispanicLatino_Estimate","NotHispanicLatino_Percent","NotHispanicLatino_White_Estimate","NotHispanicLatino_White_Percent","NotHispanicLatino_BlackAA_Estimate","NotHispanicLatino_BlackAA_Percent","NotHispanicLatino_AIAN_Estimate","NotHispanicLatino_AIAN_Percent","NotHispanicLatino_Asian_Estimate","NotHispanicLatino_Asian_Percent","NotHispanicLatino_NHOPI_Estimate","NotHispanicLatino_NHOPI_Percent","NotHispanicLatino_AloneOther_Estimate","NotHispanicLatino_AloneOther_Percent","NotHispanicLatino_TwoMore_Estimate","NotHispanicLatino_TwoMore_Percent","NotHispanicLatino_TwoMore_IncludeOther_Estimate","NotHispanicLatino_TwoMore_IncludeOther_Percent","NotHispanicLatino_TwoMore_ExcludeOtherThree_Estimate","NotHispanicLatino_TwoMore_ExcludeOtherThree_Percent","HousingUnits_Estimate","Vote_18andOver_Estimate","Vote_Male_18andOver_Estimate","Vote_Male_18andOver_Percent","Vote_Female_18andOver_Estimate","Vote_Female_18andOver_Percent"
"33852","8600000US33852",20839,10576,50.8,10263,49.2,103,647,3.1,1098,5.3,1225,5.9,853,4.1,557,2.7,1762,8.5,2150,10.3,2018,9.7,771,3.7,1768,8.5,3660,17.6,3159,15.2,1171,5.6,55.5,3593,17.2,17733,85.1,17246,82.8,16866,80.9,8876,42.6,7990,38.3,8560,49.6,8686,50.4,98.5,3970,49.7,4020,50.3,98.8,20629,99,210,1,19082,91.6,996,4.8,50,0.2,0,0,0,0,0,0,20,0.1,127,0.6,104,0.5,0,0,23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1.8,52,0.2,23,0.1,8,0,0,0,20839,20839,19292,92.6,1048,5,73,0.4,135,0.6,0,0,501,2.4,20839,4873,23.4,2228,10.7,965,4.6,627,3,1053,5.1,15966,76.6,14705,70.6,996,4.8,38,0.2,127,0.6,0,0,17,0.1,83,0.4,0,0,83,0.4,12853,16130,7846,48.6,8284,51.4
"34266","8600000US34266",31733,17968,56.6,13765,43.4,130.5,1710,5.4,1737,5.5,1766,5.6,2400,7.6,1771,5.6,4909,15.5,4144,13.1,3994,12.6,1701,5.4,1645,5.2,3342,10.5,1802,5.7,812,2.6,38.5,6469,20.4,25994,81.9,25264,79.6,23789,75,6981,22,5956,18.8,14710,58.2,10554,41.8,139.4,2837,47.6,3119,52.4,91,30723,96.8,1010,3.2,25891,81.6,3821,12,31,0.1,15,0,0,0,0,0,0,0,108,0.3,0,0,4,0,44,0.1,0,0,60,0.2,0,0,0,0,25,0.1,0,0,25,0.1,0,0,0,0,847,2.7,122,0.4,141,0.4,46,0.1,38,0.1,31733,31733,26831,84.6,4001,12.6,222,0.7,167,0.5,29,0.1,1493,4.7,31733,11386,35.9,9402,29.6,204,0.6,661,2.1,1119,3.5,20347,64.1,15966,50.3,3821,12,31,0.1,108,0.3,25,0.1,27,0.1,369,1.2,24,0.1,345,1.1,12207,21556,11991,55.6,9565,44.4
"34268","8600000US34268",366,262,71.6,104,28.4,251.9,0,0,0,0,34,9.3,89,24.3,0,0,74,20.2,42,11.5,0,0,0,0,0,0,127,34.7,0,0,0,0,27.8,123,33.6,332,90.7,243,66.4,243,66.4,127,34.7,127,34.7,139,57.2,104,42.8,133.7,65,51.2,62,48.8,104.8,366,100,0,0,0,0,366,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,366,0,0,366,100,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,366,100,0,0,366,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,243,139,57.2,104,42.8
"34269","8600000US34269",5272,2799,53.1,2473,46.9,113.2,152,2.9,343,6.5,99,1.9,38,0.7,215,4.1,451,8.6,342,6.5,370,7,502,9.5,526,10,1116,21.2,872,16.5,246,4.7,61.2,621,11.8,4678,88.7,4651,88.2,4604,87.3,2555,48.5,2234,42.4,2474,53.2,2177,46.8,113.6,1186,53.1,1048,46.9,113.2,5151,97.7,121,2.3,4717,89.5,350,6.6,2,0,0,0,0,0,0,0,0,0,55,1,2,0,20,0.4,33,0.6,0,0,0,0,0,0,0,0,5,0.1,0,0,0,0,5,0.1,0,0,22,0.4,13,0.2,7,0.1,17,0.3,0,0,5272,5272,4838,91.8,363,6.9,9,0.2,90,1.7,25,0.5,86,1.6,5272,397,7.5,250,4.7,62,1.2,29,0.6,56,1.1,4875,92.5,4450,84.4,306,5.8,2,0,55,1,5,0.1,0,0,57,1.1,0,0,57,1.1,2957,4606,2437,52.9,2169,47.1
"33598","8600000US33598",22776,11316,49.7,11460,50.3,98.7,1475,6.5,2016,8.9,1873,8.2,1594,7,1134,5,3202,14.1,2817,12.4,2521,11.1,1222,5.4,892,3.9,2697,11.8,1197,5.3,136,0.6,35.4,6527,28.7,16955,74.4,16249,71.3,15645,68.7,4628,20.3,4030,17.7,8007,49.3,8242,50.7,97.1,1898,47.1,2132,52.9,89,21816,95.8,960,4.2,12467,54.7,2636,11.6,80,0.4,0,0,0,0,0,0,0,0,196,0.9,46,0.2,16,0.1,35,0.2,0,0,7,0,73,0.3,19,0.1,0,0,0,0,0,0,0,0,0,0,6437,28.3,710,3.1,22,0.1,1,0,0,0,22776,22776,13362,58.7,3398,14.9,125,0.5,215,0.9,0,0,6646,29.2,22776,10351,45.4,8674,38.1,795,3.5,85,0.4,797,3.5,12425,54.6,8757,38.4,2511,11,19,0.1,189,0.8,0,0,174,0.8,775,3.4,24,0.1,751,3.3,7511,13314,6199,46.6,7115,53.4
"33834","8600000US33834",7451,4490,60.3,2961,39.7,151.6,364,4.9,453,6.1,509,6.8,429,5.8,631,8.5,1102,14.8,865,11.6,1194,16,431,5.8,432,5.8,714,9.6,267,3.6,60,0.8,36.5,1655,22.2,5944,79.8,5796,77.8,5586,75,1346,18.1,1041,14,3607,62.2,2189,37.8,164.8,626,60.1,415,39.9,150.8,7037,94.4,414,5.6,5453,73.2,852,11.4,5,0.1,0,0,0,0,0,0,0,0,78,1,1,0,0,0,71,1,0,0,0,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,649,8.7,137,1.8,64,0.9,0,0,0,0,7451,7451,5828,78.2,1028,13.8,69,0.9,82,1.1,0,0,858,11.5,7451,2994,40.2,2164,29,472,6.3,141,1.9,217,2.9,4457,59.8,3346,44.9,829,11.1,4,0.1,78,1,0,0,0,0,200,2.7,3,0,197,2.6,2153,5340,3304,61.9,2036,38.1
"33865","8600000US33865",1130,494,43.7,636,56.3,77.7,0,0,82,7.3,49,4.3,76,6.7,21,1.9,148,13.1,107,9.5,62,5.5,67,5.9,113,10,356,31.5,33,2.9,16,1.4,56,150,13.3,980,86.7,980,86.7,923,81.7,518,45.8,405,35.8,439,44.8,541,55.2,81.1,122,30.1,283,69.9,43.1,1089,96.4,41,3.6,920,81.4,169,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3.6,0,0,0,0,1130,1130,961,85,169,15,41,3.6,0,0,0,0,0,0,1130,487,43.1,372,32.9,100,8.8,15,1.3,0,0,643,56.9,433,38.3,169,15,0,0,0,0,0,0,0,0,41,3.6,0,0,41,3.6,303,980,439,44.8,541,55.2
"34201","8600000US34201",3729,1840,49.3,1889,50.7,97.4,48,1.3,126,3.4,157,4.2,228,6.1,46,1.2,156,4.2,263,7.1,341,9.1,182,4.9,94,2.5,995,26.7,892,23.9,201,5.4,68.3,559,15,3372,90.4,3170,85,3170,85,2152,57.7,2088,56,1548,48.8,1622,51.2,95.4,990,47.4,1098,52.6,90.2,3624,97.2,105,2.8,3364,90.2,72,1.9,22,0.6,22,0.6,0,0,0,0,0,0,166,4.5,0,0,142,3.8,0,0,14,0.4,10,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1.7,0,0,41,1.1,0,0,3729,3729,3469,93,136,3.6,22,0.6,207,5.6,0,0,0,0,3729,78,2.1,0,0,0,0,42,1.1,36,1,3651,97.9,3286,88.1,72,1.9,22,0.6,166,4.5,0,0,0,0,105,2.8,0,0,105,2.8,2282,2907,1430,49.2,1477,50.8
"34202","8600000US34202",23759,11477,48.3,12282,51.7,93.4,1289,5.4,935,3.9,1771,7.5,1172,4.9,1188,5,1775,7.5,2224,9.4,2593,10.9,1666,7,2224,9.4,4285,18,1862,7.8,775,3.3,50.6,4823,20.3,19546,82.3,18936,79.7,18307,77.1,8024,33.8,6922,29.1,9060,47.8,9876,52.2,91.7,3379,48.8,3543,51.2,95.4,22498,94.7,1261,5.3,21408,90.1,259,1.1,129,0.5,0,0,0,0,0,0,0,0,552,2.3,159,0.7,151,0.6,27,0.1,19,0.1,104,0.4,0,0,92,0.4,0,0,0,0,0,0,0,0,0,0,150,0.6,861,3.6,43,0.2,69,0.3,17,0.1,23759,23759,22633,95.3,1137,4.8,208,0.9,621,2.6,0,0,421,1.8,23759,2172,9.1,466,2,588,2.5,173,0.7,945,4,21587,90.9,19905,83.8,239,1,129,0.5,552,2.3,0,0,28,0.1,734,3.1,6,0,728,3.1,10904,18065,8507,47.1,9558,52.9
"34203","8600000US34203",39350,18225,46.3,21125,53.7,86.3,1593,4,2165,5.5,2010,5.1,1740,4.4,1329,3.4,4301,10.9,4240,10.8,5070,12.9,2793,7.1,2553,6.5,5665,14.4,4396,11.2,1495,3.8,49.8,6900,17.5,33242,84.5,32450,82.5,31702,80.6,13121,33.3,11556,29.4,14775,45.5,17675,54.5,83.6,5101,44.1,6455,55.9,79,37993,96.6,1357,3.4,31623,80.4,3736,9.5,136,0.3,26,0.1,0,0,0,0,0,0,1001,2.5,43,0.1,95,0.2,259,0.7,15,0,0,0,549,1.4,40,0.1,41,0.1,0,0,0,0,26,0.1,15,0,1456,3.7,167,0.4,89,0.2,41,0.1,0,0,39350,39350,32900,83.6,3940,10,235,0.6,1109,2.8,81,0.2,2452,6.2,39350,8369,21.3,4910,12.5,931,2.4,413,1,2115,5.4,30981,78.7,25727,65.4,3730,9.5,133,0.3,1001,2.5,41,0.1,35,0.1,314,0.8,58,0.1,256,0.7,19238,29436,12992,44.1,16444,55.9
